DischQuarter,DischMonth,PrimaryCategory,CCS.CATEGORY.DESCRIPTION,totalCases,modeOfLOS,totalLOS,ALOS
1,1,Diseases of the digestive system,Disorders of teeth and jaw,1,1,1,1
1,1,Diseases of the digestive system,Diverticulosis and diverticulitis,1,2,2,2
1,1,Diseases of the digestive system,Esophageal disorders,1,1,1,1
1,1,Diseases of the digestive system,Gastritis and duodenitis,1,1,1,1
1,1,Diseases of the digestive system,Gastrointestinal hemorrhage,2,2,4,2
1,1,Diseases of the digestive system,Intestinal obstruction without hernia,4,3,21,5.25
1,1,Diseases of the digestive system,Noninfectious gastroenteritis,1,5,5,5
1,1,Diseases of the digestive system,Pancreatic disorders (not diabetes),1,10,10,10
1,1,Diseases of the digestive system,Peritonitis and intestinal abscess,1,8,8,8
1,1,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,1,0,0,0
1,1,Diseases of the genitourinary system,Acute and unspecified renal failure,1,1,1,1
1,1,Diseases of the genitourinary system,Calculus of urinary tract,1,2,2,2
1,1,Diseases of the genitourinary system,Complications of surgical procedures or medical care,1,5,5,5
1,1,Diseases of the genitourinary system,Other female genital disorders,2,0,1,0.5
1,1,Diseases of the genitourinary system,Ovarian cyst,3,2,6,2
1,1,Diseases of the genitourinary system,Prolapse of female genital organs,1,3,3,3
1,1,Diseases of the genitourinary system,Urinary tract infections,12,13,83,6.92
1,1,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,5,5,31,6.2
1,1,Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease,2,4,5,2.5
1,1,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,1,1,1,1
1,1,Diseases of the nervous system,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),2,22,30,15
1,1,Diseases of the nervous system,Epilepsy; convulsions,2,2,10,5
1,1,Diseases of the nervous system,Headache; including migraine,1,2,2,2
1,1,Diseases of the nervous system,Other nervous system disorders,1,4,4,4
1,1,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,2,1,2,1
1,1,Diseases of the respiratory system,Acute and chronic tonsillitis,4,1,30,7.5
1,1,Diseases of the respiratory system,Acute bronchitis,21,6,118,5.62
1,1,Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus,1,11,11,11
1,1,Diseases of the respiratory system,Asthma,2,3,4,2
1,1,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,5,2,30,6
1,1,Diseases of the respiratory system,Influenza,18,3,67,3.72
1,1,Diseases of the respiratory system,Other lower respiratory disease,1,24,24,24
1,1,Diseases of the respiratory system,Other upper respiratory infections,10,1,14,1.4
1,1,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,2,12,15,7.5
1,1,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),19,3,159,8.37
1,1,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,5,5,16,3.2
1,1,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,2,4,10,5
1,1,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,6,0,20,3.33
1,1,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,1,0,0,0
1,1,External causes of morbidity and mortality,,13,1,17,1.31
1,1,Factors influencing health status and contact with health services,Chronic kidney disease,7,0,1,0.14
1,1,Factors influencing health status and contact with health services,Rehabilitation care; fitting of prostheses; and adjustment of devices,1,1,1,1
1,1,Factors influencing health status and contact with health services,Residual codes; unclassified,22,2,57,2.59
1,1,"Injury, poisoning and certain other consequences of external causes",Complication of device; implant or graft,1,2,2,2
1,1,"Injury, poisoning and certain other consequences of external causes",Complications of surgical procedures or medical care,2,4,6,3
1,1,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,4,2,9,2.25
1,1,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,4,2,16,4
1,1,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),2,12,14,7
1,1,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,2,1,2,1
1,1,"Injury, poisoning and certain other consequences of external causes",Intracranial injury,1,1,1,1
1,1,"Injury, poisoning and certain other consequences of external causes",Other fractures,1,1,1,1
1,1,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,1,1,1,1
1,1,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,1,1,1,1
1,1,Mental and behavioural disorders,,1,17,17,17
1,1,Neoplasms,Cancer of colon,1,1,1,1
1,1,Neoplasms,Cancer of ovary,1,3,3,3
1,1,Neoplasms,Cancer of pancreas,1,2,2,2
1,1,Neoplasms,Cancer of rectum and anus,1,6,6,6
1,1,Neoplasms,Leukemias,1,1,1,1
1,1,Neoplasms,Neoplasms of unspecified nature or uncertain behavior,1,2,2,2
1,1,"Pregnancy, childbirth and the puerperium",Early or threatened labor,1,0,0,0
1,1,"Pregnancy, childbirth and the puerperium",Ectopic pregnancy,1,4,4,4
1,1,"Pregnancy, childbirth and the puerperium",Fetopelvic disproportion; obstruction,1,6,6,6
1,1,"Pregnancy, childbirth and the puerperium",Hypertension complicating pregnancy; childbirth and the puerperium,1,1,1,1
1,1,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,16,2,31,1.94
1,1,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,3,3,12,4
1,1,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,3,2,5,1.67
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,5,2,12,2.4
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,3,1,4,1.33
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Epilepsy; convulsions,1,1,1,1
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,2,1,3,1.5
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,1,22,22,22
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Headache; including migraine,2,1,2,1
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,1,6,6,6
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,25,1,31,1.24
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,3,22,35,11.67
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nervous system disorders,1,29,29,29
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,1,0,0,0
1,1,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,5,2,9,1.8
1,2,Certain infectious and parasitic diseases,Bacterial infection; unspecified site,2,4,8,4
1,2,Certain infectious and parasitic diseases,Intestinal infection,18,2,49,2.72
1,2,Certain infectious and parasitic diseases,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,2,2,2
1,2,Certain infectious and parasitic diseases,Septicemia (except in labor),1,8,8,8
1,2,Certain infectious and parasitic diseases,Viral infection,6,2,17,2.83
1,2,"Congenital malformations, deformations and chromosomal abnormalities",Genitourinary congenital anomalies,1,2,2,2
1,2,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation and hemorrhagic disorders,1,4,4,4
1,2,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,2,2,3,1.5
1,2,Diseases of the circulatory system,Acute cerebrovascular disease,2,7,20,10
1,2,Diseases of the circulatory system,Acute myocardial infarction,2,5,8,4
1,2,Diseases of the circulatory system,Aortic and peripheral arterial embolism or thrombosis,2,9,10,5
1,2,Diseases of the circulatory system,Cardiac dysrhythmias,5,1,10,2
1,2,Diseases of the circulatory system,Conduction disorders,1,4,4,4
1,2,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,16,4,108,6.75
1,2,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,2,1,7,3.5
1,2,Diseases of the circulatory system,Essential hypertension,2,2,3,1.5
1,2,Diseases of the circulatory system,Heart valve disorders,1,3,3,3
1,2,Diseases of the circulatory system,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),1,2,2,2
1,2,Diseases of the circulatory system,Pulmonary heart disease,2,7,12,6
1,2,Diseases of the digestive system,,1,28,28,28
1,2,Diseases of the digestive system,Anal and rectal conditions,6,0,13,2.17
1,2,Diseases of the digestive system,Appendicitis and other appendiceal conditions,3,7,17,5.67
1,2,Diseases of the digestive system,Biliary tract disease,1,0,0,0
1,2,Diseases of the digestive system,Diseases of mouth; excluding dental,1,5,5,5
1,2,Diseases of the digestive system,Diverticulosis and diverticulitis,1,2,2,2
1,2,Diseases of the digestive system,Esophageal disorders,2,1,2,1
1,2,Diseases of the digestive system,Gastritis and duodenitis,5,1,8,1.6
1,2,Diseases of the digestive system,Gastroduodenal ulcer (except hemorrhage),1,16,16,16
1,2,Diseases of the digestive system,Noninfectious gastroenteritis,1,1,1,1
1,2,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,4,1,19,4.75
1,2,Diseases of the eye and adnexa,Cataract,1,0,0,0
1,2,Diseases of the genitourinary system,Acute and unspecified renal failure,1,6,6,6
1,2,Diseases of the genitourinary system,Calculus of urinary tract,5,1,4,0.8
1,2,Diseases of the genitourinary system,Inflammatory conditions of male genital organs,1,1,1,1
1,2,Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs,1,4,4,4
1,2,Diseases of the genitourinary system,Menstrual disorders,1,1,1,1
1,2,Diseases of the genitourinary system,Other female genital disorders,1,4,4,4
1,2,Diseases of the genitourinary system,Ovarian cyst,3,0,3,1
1,2,Diseases of the genitourinary system,Prolapse of female genital organs,1,2,2,2
1,2,Diseases of the genitourinary system,Urinary tract infections,9,2,40,4.44
1,2,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,8,5,33,4.12
1,2,Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease,2,2,5,2.5
1,2,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,2,2,5,2.5
1,2,Diseases of the nervous system,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),1,5,5,5
1,2,Diseases of the nervous system,Epilepsy; convulsions,1,5,5,5
1,2,Diseases of the nervous system,Headache; including migraine,1,1,1,1
1,2,Diseases of the nervous system,Paralysis,1,28,28,28
1,2,Diseases of the respiratory system,Acute and chronic tonsillitis,1,5,5,5
1,2,Diseases of the respiratory system,Acute bronchitis,6,3,26,4.33
1,2,Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus,3,1,17,5.67
1,2,Diseases of the respiratory system,Asthma,2,4,6,3
1,2,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,2,6,12,6
1,2,Diseases of the respiratory system,Influenza,8,2,20,2.5
1,2,Diseases of the respiratory system,Lung disease due to external agents,1,3,3,3
1,2,Diseases of the respiratory system,Other upper respiratory infections,9,1,18,2
1,2,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,1,1,1,1
1,2,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),20,5,140,7
1,2,Diseases of the respiratory system,Respiratory failure; insufficiency; arrest (adult),1,5,5,5
1,2,Diseases of the skin and subcutaneous tissue,Allergic reactions,1,1,1,1
1,2,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,4,7,14,3.5
1,2,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,3,3,11,3.67
1,2,External causes of morbidity and mortality,,4,1,13,3.25
1,2,Factors influencing health status and contact with health services,Chronic kidney disease,10,0,0,0
1,2,Factors influencing health status and contact with health services,Residual codes; unclassified,14,2,42,3
1,2,"Injury, poisoning and certain other consequences of external causes",Complications of surgical procedures or medical care,2,3,5,2.5
1,2,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,1,1,1,1
1,2,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,2,7,11,5.5
1,2,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),1,19,19,19
1,2,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,2,2,3,1.5
1,2,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,2,1,3,1.5
1,2,"Injury, poisoning and certain other consequences of external causes",Open wounds of extremities,1,2,2,2
1,2,"Injury, poisoning and certain other consequences of external causes",Open wounds of head; neck; and trunk,1,1,1,1
1,2,"Injury, poisoning and certain other consequences of external causes",Other fractures,1,3,3,3
1,2,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,1,1,1,1
1,2,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,2,2,3,1.5
1,2,Mental and behavioural disorders,,1,1,1,1
1,2,Neoplasms,Cancer of breast,1,1,1,1
1,2,Neoplasms,Cancer of head and neck,1,2,2,2
1,2,Neoplasms,Neoplasms of unspecified nature or uncertain behavior,1,1,1,1
1,2,"Pregnancy, childbirth and the puerperium",Ectopic pregnancy,1,3,3,3
1,2,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,10,2,21,2.1
1,2,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,2,3,4,2
1,2,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,1,2,2,2
1,2,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,2,1,2,1
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,7,1,8,1.14
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,3,1,3,1
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Conditions associated with dizziness or vertigo,2,1,5,2.5
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Diseases of mouth; excluding dental,1,12,12,12
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,1,2,2,2
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,5,2,9,1.8
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Headache; including migraine,2,1,1,0.5
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,3,1,4,1.33
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,16,1,30,1.88
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other gastrointestinal disorders,1,2,2,2
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,2,0,2,1
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,2,5,9,4.5
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other skin disorders,1,2,2,2
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Pleurisy; pneumothorax; pulmonary collapse,1,4,4,4
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,3,1,4,1.33
1,2,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,11,1,15,1.36
1,3,Certain conditions originating in the perinatal period,Birth trauma,1,1,1,1
1,3,Certain infectious and parasitic diseases,Bacterial infection; unspecified site,3,0,5,1.67
1,3,Certain infectious and parasitic diseases,Intestinal infection,20,2,39,1.95
1,3,Certain infectious and parasitic diseases,Septicemia (except in labor),3,1,13,4.33
1,3,Certain infectious and parasitic diseases,Viral infection,2,2,4,2
1,3,"Congenital malformations, deformations and chromosomal abnormalities",Genitourinary congenital anomalies,2,3,5,2.5
1,3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation and hemorrhagic disorders,1,4,4,4
1,3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,5,1,30,6
1,3,Diseases of the circulatory system,Acute myocardial infarction,1,3,3,3
1,3,Diseases of the circulatory system,Cardiac dysrhythmias,9,1,29,3.22
1,3,Diseases of the circulatory system,Conduction disorders,1,1,1,1
1,3,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,7,3,45,6.43
1,3,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,1,18,18,18
1,3,Diseases of the circulatory system,Heart valve disorders,2,1,15,7.5
1,3,Diseases of the circulatory system,Hypertension with complications and secondary hypertension,1,2,2,2
1,3,Diseases of the circulatory system,Peripheral and visceral atherosclerosis,1,11,11,11
1,3,Diseases of the circulatory system,Pulmonary heart disease,1,7,7,7
1,3,Diseases of the digestive system,,1,1,1,1
1,3,Diseases of the digestive system,Abdominal hernia,2,0,1,0.5
1,3,Diseases of the digestive system,Anal and rectal conditions,7,0,5,0.71
1,3,Diseases of the digestive system,Appendicitis and other appendiceal conditions,1,2,2,2
1,3,Diseases of the digestive system,Biliary tract disease,7,8,36,5.14
1,3,Diseases of the digestive system,Diseases of mouth; excluding dental,3,1,9,3
1,3,Diseases of the digestive system,Diverticulosis and diverticulitis,2,2,7,3.5
1,3,Diseases of the digestive system,Gastritis and duodenitis,6,1,6,1
1,3,Diseases of the digestive system,Gastroduodenal ulcer (except hemorrhage),1,5,5,5
1,3,Diseases of the digestive system,Intestinal obstruction without hernia,2,4,4,2
1,3,Diseases of the digestive system,Noninfectious gastroenteritis,1,4,4,4
1,3,Diseases of the digestive system,Peripheral and visceral atherosclerosis,1,6,6,6
1,3,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,2,1,2,1
1,3,Diseases of the ear and mastoid process,Other ear and sense organ disorders,1,7,7,7
1,3,Diseases of the genitourinary system,Acute and unspecified renal failure,1,3,3,3
1,3,Diseases of the genitourinary system,Calculus of urinary tract,2,1,2,1
1,3,Diseases of the genitourinary system,Menstrual disorders,2,2,3,1.5
1,3,Diseases of the genitourinary system,Nephritis; nephrosis; renal sclerosis,2,1,6,3
1,3,Diseases of the genitourinary system,Ovarian cyst,4,2,8,2
1,3,Diseases of the genitourinary system,Prolapse of female genital organs,1,4,4,4
1,3,Diseases of the genitourinary system,Urinary tract infections,8,6,55,6.88
1,3,Diseases of the musculoskeletal system and connective tissue,Acquired foot deformities,1,4,4,4
1,3,Diseases of the musculoskeletal system and connective tissue,Gout and other crystal arthropathies,1,8,8,8
1,3,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,10,5,47,4.7
1,3,Diseases of the nervous system,Acute cerebrovascular disease,1,1,1,1
1,3,Diseases of the nervous system,Epilepsy; convulsions,1,15,15,15
1,3,Diseases of the nervous system,Headache; including migraine,2,3,6,3
1,3,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,1,2,2,2
1,3,Diseases of the respiratory system,Acute and chronic tonsillitis,2,2,6,3
1,3,Diseases of the respiratory system,Acute bronchitis,14,3,95,6.79
1,3,Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus,2,7,11,5.5
1,3,Diseases of the respiratory system,Asthma,3,4,11,3.67
1,3,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,7,3,26,3.71
1,3,Diseases of the respiratory system,Influenza,4,5,12,3
1,3,Diseases of the respiratory system,Other upper respiratory disease,1,1,1,1
1,3,Diseases of the respiratory system,Other upper respiratory infections,11,3,28,2.55
1,3,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,1,10,10,10
1,3,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),18,2,135,7.5
1,3,Diseases of the skin and subcutaneous tissue,Allergic reactions,1,3,3,3
1,3,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,5,4,19,3.8
1,3,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,2,8,23,11.5
1,3,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,1,6,6,6
1,3,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,1,8,8,8
1,3,"Endocrine, nutritional and metabolic diseases",Thyroid disorders,1,1,1,1
1,3,External causes of morbidity and mortality,,7,1,34,4.86
1,3,Factors influencing health status and contact with health services,Chronic kidney disease,5,0,28,5.6
1,3,Factors influencing health status and contact with health services,Medical examination/evaluation,1,1,1,1
1,3,Factors influencing health status and contact with health services,Rehabilitation care; fitting of prostheses; and adjustment of devices,1,1,1,1
1,3,Factors influencing health status and contact with health services,Residual codes; unclassified,21,2,68,3.24
1,3,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,2,1,3,1.5
1,3,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,2,8,16,8
1,3,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),5,10,55,11
1,3,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,4,2,10,2.5
1,3,"Injury, poisoning and certain other consequences of external causes",Intracranial injury,1,0,0,0
1,3,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,4,1,7,1.75
1,3,"Injury, poisoning and certain other consequences of external causes",Open wounds of extremities,1,4,4,4
1,3,"Injury, poisoning and certain other consequences of external causes",Open wounds of head; neck; and trunk,1,0,0,0
1,3,"Injury, poisoning and certain other consequences of external causes",Other fractures,2,11,28,14
1,3,"Injury, poisoning and certain other consequences of external causes",Poisoning by other medications and drugs,1,2,2,2
1,3,"Injury, poisoning and certain other consequences of external causes",Skull and face fractures,1,1,1,1
1,3,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,6,1,6,1
1,3,Mental and behavioural disorders,,5,13,23,4.6
1,3,Neoplasms,Benign neoplasm of uterus,1,2,2,2
1,3,Neoplasms,Cancer of colon,1,5,5,5
1,3,Neoplasms,Cancer of other GI organs; peritoneum,1,2,2,2
1,3,"Pregnancy, childbirth and the puerperium",Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,1,3,3,3
1,3,"Pregnancy, childbirth and the puerperium",Fetal distress and abnormal forces of labor,2,5,8,4
1,3,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,4,2,33,8.25
1,3,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,1,2,2,2
1,3,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,1,1,1,1
1,3,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,1,0,0,0
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,4,0,2,0.5
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,3,3,7,2.33
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Conditions associated with dizziness or vertigo,1,1,1,1
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Diabetes mellitus without complication,3,5,12,4
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Epilepsy; convulsions,3,1,3,1
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Gangrene,1,4,4,4
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,1,4,4,4
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Malaise and fatigue,1,4,4,4
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,2,1,2,1
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,20,1,22,1.1
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other gastrointestinal disorders,1,4,4,4
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,3,2,8,2.67
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other skin disorders,1,2,2,2
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,2,1,6,3
1,3,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,2,1,2,1
2,4,Certain conditions originating in the perinatal period,Respiratory distress syndrome,1,0,0,0
2,4,Certain infectious and parasitic diseases,Intestinal infection,9,2,23,2.56
2,4,Certain infectious and parasitic diseases,Septicemia (except in labor),3,13,41,13.67
2,4,Certain infectious and parasitic diseases,Viral infection,1,8,8,8
2,4,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,7,1,19,2.71
2,4,Diseases of the circulatory system,Acute cerebrovascular disease,3,15,19,6.33
2,4,Diseases of the circulatory system,Acute myocardial infarction,2,0,9,4.5
2,4,Diseases of the circulatory system,Cardiac dysrhythmias,8,1,29,3.62
2,4,Diseases of the circulatory system,Complications of surgical procedures or medical care,1,0,0,0
2,4,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,4,2,19,4.75
2,4,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,1,1,1,1
2,4,Diseases of the circulatory system,Essential hypertension,1,2,2,2
2,4,Diseases of the circulatory system,Heart valve disorders,1,3,3,3
2,4,Diseases of the circulatory system,Hypertension with complications and secondary hypertension,1,2,2,2
2,4,Diseases of the circulatory system,Other circulatory disease,1,2,2,2
