PrimaryDiagnosis,totalCases,modeOfLOS,totalLOS,ALOS
Genitourinary symptoms and ill-defined conditions,5,2,14,2.8
Gout and other crystal arthropathies,2,1,6,3
Headache; including migraine,6,1,11,1.83
Heart valve disorders,1,1,1,1
Hemolytic jaundice and perinatal jaundice,1,3,3,3
Hemorrhage during pregnancy; abruptio placenta; placenta previa,3,1,11,3.67
Hepatitis,1,1,1,1
Hodgkin`s disease,1,1,1,1
Hypertension with complications and secondary hypertension,3,4,26,8.67
Immunizations and screening for infectious disease,1,1,1,1
Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),2,12,13,6.5
Inflammatory conditions of male genital organs,1,9,9,9
Influenza,13,4,51,3.92
Intestinal infection,36,1,47,1.31
Intestinal obstruction without hernia,6,3,27,4.5
Joint disorders and dislocations; trauma-related,2,1,2,1
Late effects of cerebrovascular disease,1,27,27,27
Leukemias,1,2,2,2
Liveborn,1,4,4,4
Lung disease due to external agents,2,0,0,0
Maintenance chemotherapy; radiotherapy,2,0,3,1.5
Malaise and fatigue,1,1,1,1
Malposition; malpresentation,44,2,111,2.52
Medical examination/evaluation,2,1,3,1.5
Menstrual disorders,1,4,4,4
Mycoses,1,5,5,5
Nausea and vomiting,5,1,30,6
Nephritis; nephrosis; renal sclerosis,1,2,2,2
Noninfectious gastroenteritis,9,1,11,1.22
Nonmalignant breast conditions,1,3,3,3
Nonspecific chest pain,51,1,63,1.24
Open wounds of extremities,2,2,12,6
Open wounds of head; neck; and trunk,1,1,1,1
Osteoarthritis,19,5,104,5.47
Other aftercare,1,1,1,1
Other and unspecified benign neoplasm,2,1,2,1
Other circulatory disease,2,3,5,2.5
Other complications of birth; puerperium affecting management of mother,7,3,34,4.86
Other complications of pregnancy,8,1,10,1.25
Other connective tissue disease,4,4,10,2.5
Other diseases of veins and lymphatics,3,1,10,3.33
Other ear and sense organ disorders,1,4,4,4
Other endocrine disorders,4,5,11,2.75
Other fractures,3,26,46,15.33
Other gastrointestinal disorders,3,1,4,1.33
Other hereditary and degenerative nervous system conditions,2,3,5,2.5
Other injuries and conditions due to external causes,9,1,24,2.67
Other liver diseases,4,2,10,2.5
Other lower respiratory disease,10,2,40,4
Other nervous system disorders,8,1,46,5.75
Other non-traumatic joint disorders,3,4,9,3
Other nutritional; endocrine; and metabolic disorders,3,11,25,8.33
Other perinatal conditions,2,3,6,3
Other pregnancy and delivery including normal,2,3,9,4.5
Other screening for suspected conditions (not mental disorders or infectious disease),2,0,1,0.5
Other skin disorders,1,3,3,3
Other upper respiratory disease,1,1,1,1
Other upper respiratory infections,18,2,60,3.33
Otitis media and related conditions,1,3,3,3
Ovarian cyst,5,2,7,1.4
Pancreatic disorders (not diabetes),3,9,14,4.67
Parkinson`s disease,2,21,24,12
Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),1,1,1,1
Peripheral and visceral atherosclerosis,2,2,6,3
Phlebitis; thrombophlebitis and thromboembolism,1,1,1,1
Pleurisy; pneumothorax; pulmonary collapse,2,14,15,7.5
Pneumonia,20,4,124,6.2
Poisoning by nonmedicinal substances,1,1,1,1
Poisoning by other medications and drugs,4,1,4,1
Previous C-section,1,5,5,5
Prolapse of female genital organs,2,3,6,3
Pulmonary heart disease,2,3,5,2.5
Regional enteritis and ulcerative colitis,1,2,2,2
Residual codes; unclassified,114,2,322,2.82
Respiratory distress syndrome,1,11,11,11
Respiratory failure; insufficiency; arrest (adult),3,4,26,8.67
Retinal detachments; defects; vascular occlusion; and retinopathy,4,2,6,1.5
Septicemia (except in labor),5,5,39,7.8
Skin and subcutaneous tissue infections,7,6,38,5.43
Skull and face fractures,1,1,1,1
Spondylosis; intervertebral disc disorders; other back problems,5,7,24,4.8
Spontaneous abortion,5,0,2,0.4
Superficial injury; contusion,3,1,9,3
Syncope,25,1,47,1.88
Thyroid disorders,3,2,12,4
Tuberculosis,1,12,12,12
Urinary tract infections,23,4,106,4.61
Viral infection,9,1,19,2.11
