Clinic,Date,Total
Diabetology,19-Oct,110
Diabetology,19-Nov,90
Diabetology,19-Dec,103
Diabetology,20-Jan,104
Diabetology,20-Feb,96
Diabetology,20-Mar,54
Diabetology,20-Apr,1
Diabetology,20-May,7
Dietician,18-Jan,21
Dietician,18-Feb,25
Dietician,18-Mar,29
Dietician,18-Apr,33
Dietician,18-May,45
Dietician,18-Jun,28
Dietician,18-Jul,32
Dietician,18-Aug,26
Dietician,18-Sep,23
Dietician,18-Oct,34
Dietician,18-Nov,14
Dietician,18-Dec,27
Dietician,19-Jan,27
Dietician,19-Feb,32
Dietician,19-Mar,21
Dietician,19-Apr,28
Dietician,19-May,37
Dietician,19-Jun,25
Dietician,19-Jul,39
Dietician,19-Aug,23
Dietician,19-Sep,7
Dietician,19-Oct,57
Dietician,19-Nov,24
Dietician,19-Dec,29
Dietician,20-Jan,32
Dietician,20-Feb,34
Dietician,20-Mar,18
Dietician,20-Apr,0
Dietician,20-May,4
ECG Stress tests,18-Jan,52
ECG Stress tests,18-Feb,49
ECG Stress tests,18-Mar,55
ECG Stress tests,18-Apr,64
ECG Stress tests,18-May,51
ECG Stress tests,18-Jun,22
ECG Stress tests,18-Jul,30
ECG Stress tests,18-Aug,12
ECG Stress tests,18-Sep,22
ECG Stress tests,18-Oct,21
ECG Stress tests,18-Nov,15
ECG Stress tests,18-Dec,19
ECG Stress tests,19-Jan,12
ECG Stress tests,19-Feb,16
ECG Stress tests,19-Mar,18
ECG Stress tests,19-Apr,38
ECG Stress tests,19-May,21
ECG Stress tests,19-Jun,18
ECG Stress tests,19-Jul,11
ECG Stress tests,19-Aug,19
ECG Stress tests,19-Sep,24
ECG Stress tests,19-Oct,23
ECG Stress tests,19-Nov,6
ECG Stress tests,19-Dec,3
ECG Stress tests,20-Jan,10
ECG Stress tests,20-Feb,13
ECG Stress tests,20-Mar,6
ECG Stress tests,20-Apr,0
ECG Stress tests,20-May,0
ENT,18-Jan,73
ENT,18-Feb,83
ENT,18-Mar,83
ENT,18-Apr,103
ENT,18-May,79
ENT,18-Jun,84
ENT,18-Jul,79
ENT,18-Aug,53
ENT,18-Sep,65
ENT,18-Oct,90
ENT,18-Nov,66
ENT,18-Dec,42
ENT,19-Jan,75
ENT,19-Feb,62
ENT,19-Mar,107
ENT,19-Apr,46
ENT,19-May,84
ENT,19-Jun,46
ENT,19-Jul,65
ENT,19-Aug,61
ENT,19-Sep,43
ENT,19-Oct,89
ENT,19-Nov,72
ENT,19-Dec,69
ENT,20-Jan,80
ENT,20-Feb,37
ENT,20-Mar,34
ENT,20-Apr,0
ENT,20-May,0
Echocardiograms,18-Jan,32
Echocardiograms,18-Feb,39
Echocardiograms,18-Mar,42
Echocardiograms,18-Apr,52
Echocardiograms,18-May,64
Echocardiograms,18-Jun,26
Echocardiograms,18-Jul,16
Echocardiograms,18-Aug,27
Echocardiograms,18-Sep,30
Echocardiograms,18-Oct,20
Echocardiograms,18-Nov,25
Echocardiograms,18-Dec,186
Echocardiograms,19-Jan,200
Echocardiograms,19-Feb,21
Echocardiograms,19-Mar,33
Echocardiograms,19-Apr,33
Echocardiograms,19-May,38
Echocardiograms,19-Jun,13
Echocardiograms,19-Jul,27
Echocardiograms,19-Aug,1
Echocardiograms,19-Sep,18
Echocardiograms,19-Oct,42
Echocardiograms,19-Nov,35
Echocardiograms,19-Dec,8
Echocardiograms,20-Jan,42
Echocardiograms,20-Feb,61
Echocardiograms,20-Mar,46
Echocardiograms,20-Apr,10
Echocardiograms,20-May,37
Endocrine,18-Jan,
Endocrine,18-Feb,
Endocrine,18-Mar,
Endocrine,18-Apr,
Endocrine,18-May,
Endocrine,18-Jun,
Endocrine,18-Jul,
Endocrine,18-Aug,
Endocrine,18-Sep,
Endocrine,18-Oct,
Endocrine,18-Nov,13
Endocrine,18-Dec,4
Endocrine,19-Jan,10
Endocrine,19-Feb,10
Endocrine,19-Mar,11
Endocrine,19-Apr,20
Endocrine,19-May,12
Endocrine,19-Jun,15
Endocrine,19-Jul,12
Endocrine,19-Aug,15
Endocrine,19-Sep,14
Endocrine,19-Oct,11
Endocrine,19-Nov,13
Endocrine,19-Dec,13
Endocrine,20-Jan,16
Endocrine,20-Feb,5
Endocrine,20-Mar,7
Endocrine,20-Apr,0
Endocrine,20-May,3
Fertility Care,18-Jan,0
Fertility Care,18-Feb,0
Fertility Care,18-Mar,0
Fertility Care,18-Apr,1
Fertility Care,18-May,4
Fertility Care,18-Jun,4
Fertility Care,18-Jul,3
Fertility Care,18-Aug,0
Fertility Care,18-Sep,3
Fertility Care,18-Oct,0
Fertility Care,18-Nov,6
Fertility Care,18-Dec,0
Fertility Care,19-Jan,1
Fertility Care,19-Feb,4
Fertility Care,19-Mar,5
Fertility Care,19-Apr,7
Fertility Care,19-May,5
Fertility Care,19-Jun,3
Fertility Care,19-Jul,1
Fertility Care,19-Aug,2
Fertility Care,19-Sep,1
Fertility Care,19-Oct,0
Fertility Care,19-Nov,0
Fertility Care,19-Dec,0
Fertility Care,20-Jan,0
Fertility Care,20-Feb,0
Fertility Care,20-Mar,0
Fertility Care,20-Apr,0
Fertility Care,20-May,0
Glaucoma,18-Jan,6
Glaucoma,18-Feb,8
Glaucoma,18-Mar,8
Glaucoma,18-Apr,4
Glaucoma,18-May,7
Glaucoma,18-Jun,7
Glaucoma,18-Jul,7
Glaucoma,18-Aug,6
Glaucoma,18-Sep,8
Glaucoma,18-Oct,5
Glaucoma,18-Nov,6
Glaucoma,18-Dec,0
Glaucoma,19-Jan,0
Glaucoma,19-Feb,0
Glaucoma,19-Mar,4
Glaucoma,19-Apr,20
Glaucoma,19-May,7
Glaucoma,19-Jun,7
Glaucoma,19-Jul,9
Glaucoma,19-Aug,2
Glaucoma,19-Sep,9
Glaucoma,19-Oct,8
Glaucoma,19-Nov,4
Glaucoma,19-Dec,7
Glaucoma,20-Jan,7
Glaucoma,20-Feb,3
Glaucoma,20-Mar,0
Glaucoma,20-Apr,0
Glaucoma,20-May,0
Gynaecology,18-Jan,191
Gynaecology,18-Feb,139
Gynaecology,18-Mar,182
Gynaecology,18-Apr,137
Gynaecology,18-May,182
Gynaecology,18-Jun,155
Gynaecology,18-Jul,113
Gynaecology,18-Aug,125
Gynaecology,18-Sep,114
Gynaecology,18-Oct,138
Gynaecology,18-Nov,147
Gynaecology,18-Dec,0
Gynaecology,19-Jan,162
Gynaecology,19-Feb,161
Gynaecology,19-Mar,200
Gynaecology,19-Apr,141
Gynaecology,19-May,174
Gynaecology,19-Jun,116
Gynaecology,19-Jul,144
Gynaecology,19-Aug,143
Gynaecology,19-Sep,150
Gynaecology,19-Oct,147
Gynaecology,19-Nov,169
Gynaecology,19-Dec,109
Gynaecology,20-Jan,144
Gynaecology,20-Feb,143
Gynaecology,20-Mar,100
Gynaecology,20-Apr,36
Gynaecology,20-May,43
Heart Valve Clinic,18-Jan,0
Heart Valve Clinic,18-Feb,0
Heart Valve Clinic,18-Mar,0
Heart Valve Clinic,18-Apr,0
Heart Valve Clinic,18-May,0
Heart Valve Clinic,18-Jun,0
Heart Valve Clinic,18-Jul,0
Heart Valve Clinic,18-Aug,0
Heart Valve Clinic,18-Sep,0
Heart Valve Clinic,18-Oct,0
Heart Valve Clinic,18-Nov,0
Heart Valve Clinic,18-Dec,0
Heart Valve Clinic,19-Jan,0
Heart Valve Clinic,19-Feb,0
Heart Valve Clinic,19-Mar,0
Heart Valve Clinic,19-Apr,0
Heart Valve Clinic,19-May,0
Heart Valve Clinic,19-Jun,0
Heart Valve Clinic,19-Jul,0
Heart Valve Clinic,19-Aug,0
Heart Valve Clinic,19-Sep,0
Heart Valve Clinic,19-Oct,0
Heart Valve Clinic,19-Nov,0
Heart Valve Clinic,19-Dec,0
Heart Valve Clinic,20-Jan,0
Heart Valve Clinic,20-Feb,4
Heart Valve Clinic,20-Mar,0
Heart Valve Clinic,20-Apr,0
Heart Valve Clinic,20-May,5
Holters,18-Jan,0
Holters,18-Feb,0
Holters,18-Mar,0
Holters,18-Apr,0
Holters,18-May,0
Holters,18-Jun,0
Holters,18-Jul,0
Holters,18-Aug,0
Holters,18-Sep,6
Holters,18-Oct,15
Holters,18-Nov,17
Holters,18-Dec,24
Holters,19-Jan,25
Holters,19-Feb,69
Holters,19-Mar,45
Holters,19-Apr,25
Holters,19-May,22
Holters,19-Jun,18
Holters,19-Jul,19
Holters,19-Aug,14
Holters,19-Sep,18
Holters,19-Oct,27
Holters,19-Nov,19
Holters,19-Dec,12
Holters,20-Jan,14
Holters,20-Feb,24
Holters,20-Mar,20
Holters,20-Apr,2
Holters,20-May,2
Hyperbaric Unit-Emergency divers,18-Jan,0
Hyperbaric Unit-Emergency divers,18-Feb,0
Hyperbaric Unit-Emergency divers,18-Mar,4
Hyperbaric Unit-Emergency divers,18-Apr,0
Hyperbaric Unit-Emergency divers,18-May,2
Hyperbaric Unit-Emergency divers,18-Jun,6
Hyperbaric Unit-Emergency divers,18-Jul,1
Hyperbaric Unit-Emergency divers,18-Aug,9
Hyperbaric Unit-Emergency divers,18-Sep,19
Hyperbaric Unit-Emergency divers,18-Oct,1
Hyperbaric Unit-Emergency divers,18-Nov,0
Hyperbaric Unit-Emergency divers,18-Dec,0
Hyperbaric Unit-Emergency divers,19-Jan,0
Hyperbaric Unit-Emergency divers,19-Feb,0
Hyperbaric Unit-Emergency divers,19-Mar,1
Hyperbaric Unit-Emergency divers,19-Apr,0
Hyperbaric Unit-Emergency divers,19-May,2
Hyperbaric Unit-Emergency divers,19-Jun,3
Hyperbaric Unit-Emergency divers,19-Jul,0
Hyperbaric Unit-Emergency divers,19-Aug,5
Hyperbaric Unit-Emergency divers,19-Sep,4
Hyperbaric Unit-Emergency divers,19-Oct,11
Hyperbaric Unit-Emergency divers,19-Nov,9
Hyperbaric Unit-Emergency divers,19-Dec,9
Hyperbaric Unit-Emergency divers,20-Jan,0
Hyperbaric Unit-Emergency divers,20-Feb,0
Hyperbaric Unit-Emergency divers,20-Mar,1
Hyperbaric Unit-Emergency divers,20-Apr,2
Hyperbaric Unit-Emergency divers,20-May,0
Hyperbaric Unit-Oxygen treatment,18-Jan,18
Hyperbaric Unit-Oxygen treatment,18-Feb,27
Hyperbaric Unit-Oxygen treatment,18-Mar,20
Hyperbaric Unit-Oxygen treatment,18-Apr,35
Hyperbaric Unit-Oxygen treatment,18-May,33
Hyperbaric Unit-Oxygen treatment,18-Jun,6
Hyperbaric Unit-Oxygen treatment,18-Jul,34
Hyperbaric Unit-Oxygen treatment,18-Aug,22
Hyperbaric Unit-Oxygen treatment,18-Sep,16
Hyperbaric Unit-Oxygen treatment,18-Oct,21
Hyperbaric Unit-Oxygen treatment,18-Nov,10
Hyperbaric Unit-Oxygen treatment,18-Dec,26
Hyperbaric Unit-Oxygen treatment,19-Jan,17
Hyperbaric Unit-Oxygen treatment,19-Feb,17
Hyperbaric Unit-Oxygen treatment,19-Mar,18
Hyperbaric Unit-Oxygen treatment,19-Apr,20
Hyperbaric Unit-Oxygen treatment,19-May,20
Hyperbaric Unit-Oxygen treatment,19-Jun,19
Hyperbaric Unit-Oxygen treatment,19-Jul,22
Hyperbaric Unit-Oxygen treatment,19-Aug,21
Hyperbaric Unit-Oxygen treatment,19-Sep,19
Hyperbaric Unit-Oxygen treatment,19-Oct,9
Hyperbaric Unit-Oxygen treatment,19-Nov,2
Hyperbaric Unit-Oxygen treatment,19-Dec,17
Hyperbaric Unit-Oxygen treatment,20-Jan,13
Hyperbaric Unit-Oxygen treatment,20-Feb,12
Hyperbaric Unit-Oxygen treatment,20-Mar,15
Hyperbaric Unit-Oxygen treatment,20-Apr,7
Hyperbaric Unit-Oxygen treatment,20-May,10
Juvenile,18-Jan,
Juvenile,18-Feb,
Juvenile,18-Mar,
Juvenile,18-Apr,
Juvenile,18-May,
Juvenile,18-Jun,
Juvenile,18-Jul,
Juvenile,18-Aug,
Juvenile,18-Sep,
Juvenile,18-Oct,5
Juvenile,18-Nov,10
Juvenile,18-Dec,13
Juvenile,19-Jan,15
Juvenile,19-Feb,13
Juvenile,19-Mar,11
Juvenile,19-Apr,6
Juvenile,19-May,11
Juvenile,19-Jun,15
Juvenile,19-Jul,9
Juvenile,19-Aug,6
Juvenile,19-Sep,14
Juvenile,19-Oct,11
Juvenile,19-Nov,14
Juvenile,19-Dec,11
Juvenile,20-Jan,10
Juvenile,20-Feb,12
Juvenile,20-Mar,6
Juvenile,20-Apr,0
Juvenile,20-May,0
Lung Function tests,18-Jan,18
Lung Function tests,18-Feb,13
Lung Function tests,18-Mar,18
Lung Function tests,18-Apr,16
Lung Function tests,18-May,14
Lung Function tests,18-Jun,11
Lung Function tests,18-Jul,3
Lung Function tests,18-Aug,1
Lung Function tests,18-Sep,3
Lung Function tests,18-Oct,8
Lung Function tests,18-Nov,10
Lung Function tests,18-Dec,1
Lung Function tests,19-Jan,3
Lung Function tests,19-Feb,6
Lung Function tests,19-Mar,2
Lung Function tests,19-Apr,7
Lung Function tests,19-May,22
Lung Function tests,19-Jun,1
Lung Function tests,19-Jul,2
Lung Function tests,19-Aug,5
Lung Function tests,19-Sep,5
Lung Function tests,19-Oct,9
Lung Function tests,19-Nov,9
Lung Function tests,19-Dec,8
Lung Function tests,20-Jan,4
Lung Function tests,20-Feb,16
Lung Function tests,20-Mar,4
Lung Function tests,20-Apr,2
Lung Function tests,20-May,1
Medical,18-Jan,375
Medical,18-Feb,322
Medical,18-Mar,276
Medical,18-Apr,325
Medical,18-May,303
Medical,18-Jun,282
Medical,18-Jul,286
Medical,18-Aug,285
Medical,18-Sep,220
Medical,18-Oct,323
Medical,18-Nov,268
Medical,18-Dec,216
Medical,19-Jan,296
Medical,19-Feb,271
Medical,19-Mar,287
Medical,19-Apr,232
Medical,19-May,262
Medical,19-Jun,234
Medical,19-Jul,253
Medical,19-Aug,230
Medical,19-Sep,234
Medical,19-Oct,168
Medical,19-Nov,202
Medical,19-Dec,183
Medical,20-Jan,210
Medical,20-Feb,145
Medical,20-Mar,97
Medical,20-Apr,14
Medical,20-May,19
Multiple Sclerosis,18-Jan,0
Multiple Sclerosis,18-Feb,0
Multiple Sclerosis,18-Mar,0
