AdmYear,AdmQuarter,AdmMonth,Date,PrimaryCategory,CCS.CATEGORY.DESCRIPTION,totalCases
2018,1,2,2018-02-01,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,3
2018,1,2,2018-02-01,"Endocrine, nutritional and metabolic diseases",Thyroid disorders,1
2018,1,2,2018-02-01,External causes of morbidity and mortality,,4
2018,1,2,2018-02-01,Factors influencing health status and contact with health services,Medical examination/evaluation,1
2018,1,2,2018-02-01,Factors influencing health status and contact with health services,Residual codes; unclassified,6
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Burns,1
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Complication of device; implant or graft,1
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Complications of surgical procedures or medical care,1
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,5
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,3
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),2
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,3
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Intracranial injury,1
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,1
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Open wounds of head; neck; and trunk,2
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Other fractures,4
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,5
2018,1,2,2018-02-01,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,2
2018,1,2,2018-02-01,Mental and behavioural disorders,,6
2018,1,2,2018-02-01,Neoplasms,Cancer of brain and nervous system,2
2018,1,2,2018-02-01,Neoplasms,Cancer of pancreas,1
2018,1,2,2018-02-01,"Pregnancy, childbirth and the puerperium",Hemorrhage during pregnancy; abruptio placenta; placenta previa,2
2018,1,2,2018-02-01,"Pregnancy, childbirth and the puerperium",Hypertension complicating pregnancy; childbirth and the puerperium,1
2018,1,2,2018-02-01,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,9
2018,1,2,2018-02-01,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,3
2018,1,2,2018-02-01,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,3
2018,1,2,2018-02-01,"Pregnancy, childbirth and the puerperium",Polyhydramnios and other problems of amniotic cavity,1
2018,1,2,2018-02-01,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,1
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",,1
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,8
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,3
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Conditions associated with dizziness or vertigo,2
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,1
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,1
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Malaise and fatigue,2
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,5
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,20
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other circulatory disease,1
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other gastrointestinal disorders,1
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,1
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,7
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,1
2018,1,2,2018-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,4
2018,1,3,2018-03-01,Certain infectious and parasitic diseases,Intestinal infection,17
2018,1,3,2018-03-01,Certain infectious and parasitic diseases,Septicemia (except in labor),2
2018,1,3,2018-03-01,Certain infectious and parasitic diseases,Viral infection,2
2018,1,3,2018-03-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,7
2018,1,3,2018-03-01,Diseases of the circulatory system,Acute myocardial infarction,1
2018,1,3,2018-03-01,Diseases of the circulatory system,Aortic and peripheral arterial embolism or thrombosis,1
2018,1,3,2018-03-01,Diseases of the circulatory system,Aortic; peripheral; and visceral artery aneurysms,1
2018,1,3,2018-03-01,Diseases of the circulatory system,Cardiac dysrhythmias,7
2018,1,3,2018-03-01,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,11
2018,1,3,2018-03-01,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,1
2018,1,3,2018-03-01,Diseases of the circulatory system,Essential hypertension,1
2018,1,3,2018-03-01,Diseases of the circulatory system,Heart valve disorders,1
2018,1,3,2018-03-01,Diseases of the circulatory system,Lymphadenitis,1
2018,1,3,2018-03-01,Diseases of the circulatory system,Other circulatory disease,1
2018,1,3,2018-03-01,Diseases of the circulatory system,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),1
2018,1,3,2018-03-01,Diseases of the digestive system,Anal and rectal conditions,5
2018,1,3,2018-03-01,Diseases of the digestive system,Appendicitis and other appendiceal conditions,1
2018,1,3,2018-03-01,Diseases of the digestive system,Biliary tract disease,1
2018,1,3,2018-03-01,Diseases of the digestive system,Diverticulosis and diverticulitis,4
2018,1,3,2018-03-01,Diseases of the digestive system,Esophageal disorders,1
2018,1,3,2018-03-01,Diseases of the digestive system,Gastritis and duodenitis,4
2018,1,3,2018-03-01,Diseases of the digestive system,Intestinal obstruction without hernia,2
2018,1,3,2018-03-01,Diseases of the digestive system,Other liver diseases,1
2018,1,3,2018-03-01,Diseases of the digestive system,Pancreatic disorders (not diabetes),1
2018,1,3,2018-03-01,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,2
2018,1,3,2018-03-01,Diseases of the eye and adnexa,Other eye disorders,1
2018,1,3,2018-03-01,Diseases of the genitourinary system,Acute and unspecified renal failure,1
2018,1,3,2018-03-01,Diseases of the genitourinary system,Calculus of urinary tract,2
2018,1,3,2018-03-01,Diseases of the genitourinary system,Endometriosis,1
2018,1,3,2018-03-01,Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs,2
2018,1,3,2018-03-01,Diseases of the genitourinary system,Nephritis; nephrosis; renal sclerosis,1
2018,1,3,2018-03-01,Diseases of the genitourinary system,Prolapse of female genital organs,1
2018,1,3,2018-03-01,Diseases of the genitourinary system,Urinary tract infections,3
2018,1,3,2018-03-01,Diseases of the musculoskeletal system and connective tissue,Gout and other crystal arthropathies,1
2018,1,3,2018-03-01,Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease,4
2018,1,3,2018-03-01,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,5
2018,1,3,2018-03-01,Diseases of the nervous system,Epilepsy; convulsions,2
2018,1,3,2018-03-01,Diseases of the nervous system,Other nervous system disorders,2
2018,1,3,2018-03-01,Diseases of the nervous system,Parkinson`s disease,2
2018,1,3,2018-03-01,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,2
2018,1,3,2018-03-01,Diseases of the respiratory system,Acute bronchitis,11
2018,1,3,2018-03-01,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,4
2018,1,3,2018-03-01,Diseases of the respiratory system,Influenza,1
2018,1,3,2018-03-01,Diseases of the respiratory system,Other lower respiratory disease,1
2018,1,3,2018-03-01,Diseases of the respiratory system,Other upper respiratory disease,1
2018,1,3,2018-03-01,Diseases of the respiratory system,Other upper respiratory infections,3
2018,1,3,2018-03-01,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),4
2018,1,3,2018-03-01,Diseases of the skin and subcutaneous tissue,Chronic ulcer of skin,2
2018,1,3,2018-03-01,Diseases of the skin and subcutaneous tissue,Other inflammatory condition of skin,1
2018,1,3,2018-03-01,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,1
2018,1,3,2018-03-01,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,5
2018,1,3,2018-03-01,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,2
2018,1,3,2018-03-01,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,2
2018,1,3,2018-03-01,External causes of morbidity and mortality,,11
2018,1,3,2018-03-01,Factors influencing health status and contact with health services,Maintenance chemotherapy; radiotherapy,1
2018,1,3,2018-03-01,Factors influencing health status and contact with health services,Residual codes; unclassified,18
2018,1,3,2018-03-01,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,3
2018,1,3,2018-03-01,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,1
2018,1,3,2018-03-01,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),5
2018,1,3,2018-03-01,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,1
2018,1,3,2018-03-01,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,2
2018,1,3,2018-03-01,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,2
2018,1,3,2018-03-01,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,3
2018,1,3,2018-03-01,Mental and behavioural disorders,,1
2018,1,3,2018-03-01,Neoplasms,Cancer of head and neck,2
2018,1,3,2018-03-01,Neoplasms,Cancer of pancreas,1
2018,1,3,2018-03-01,"Pregnancy, childbirth and the puerperium",Hemorrhage during pregnancy; abruptio placenta; placenta previa,3
2018,1,3,2018-03-01,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,16
2018,1,3,2018-03-01,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,4
2018,1,3,2018-03-01,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,6
2018,1,3,2018-03-01,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,1
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,19
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,2
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,3
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,6
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Malaise and fatigue,2
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,6
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,22
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other circulatory disease,1
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,11
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nervous system disorders,2
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nutritional; endocrine; and metabolic disorders,1
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other skin disorders,1
2018,1,3,2018-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,10
2018,2,4,2018-04-01,Certain infectious and parasitic diseases,Intestinal infection,21
2018,2,4,2018-04-01,Certain infectious and parasitic diseases,Viral infection,6
2018,2,4,2018-04-01,"Congenital malformations, deformations and chromosomal abnormalities",Digestive congenital anomalies,1
2018,2,4,2018-04-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,4
2018,2,4,2018-04-01,Diseases of the circulatory system,Acute cerebrovascular disease,1
2018,2,4,2018-04-01,Diseases of the circulatory system,Cardiac dysrhythmias,4
2018,2,4,2018-04-01,Diseases of the circulatory system,Conduction disorders,2
2018,2,4,2018-04-01,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,7
2018,2,4,2018-04-01,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,2
2018,2,4,2018-04-01,Diseases of the circulatory system,Deficiency and other anemia,1
2018,2,4,2018-04-01,Diseases of the circulatory system,Essential hypertension,2
2018,2,4,2018-04-01,Diseases of the circulatory system,Hypertension with complications and secondary hypertension,2
2018,2,4,2018-04-01,Diseases of the circulatory system,Other circulatory disease,1
2018,2,4,2018-04-01,Diseases of the circulatory system,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),2
2018,2,4,2018-04-01,Diseases of the circulatory system,Peripheral and visceral atherosclerosis,1
2018,2,4,2018-04-01,Diseases of the circulatory system,Phlebitis; thrombophlebitis and thromboembolism,1
2018,2,4,2018-04-01,Diseases of the digestive system,Abdominal hernia,2
2018,2,4,2018-04-01,Diseases of the digestive system,Anal and rectal conditions,5
2018,2,4,2018-04-01,Diseases of the digestive system,Appendicitis and other appendiceal conditions,2
2018,2,4,2018-04-01,Diseases of the digestive system,Biliary tract disease,4
