AdmYear,AdmMonth,PrimaryDiagnosis,totalCases
2018,November,Maternal care for high head at term,1
2018,November,Melaena,1
2018,November,Necrotizing fasciitis,1
2018,November,"Noninfective gastroenteritis and colitis, unspecified (IBD)",1
2018,November,"Osteomyelitis, unspecified",1
2018,November,Other acute gastritis,1
2018,November,Other and unspecified gastroenteritis and colitis of infectious origin,1
2018,November,Other and unspecified hydronephrosis,1
2018,November,Other and unspecified injuries of head,1
2018,November,Other chest pain,1
2018,November,Other forms of stomatitis,1
2018,November,Other specified coagulation defects,1
2018,November,Other specified pregnancy-related conditions,1
2018,November,Pain in joint,1
2018,November,"Pain, not elsewhere classified",1
2018,November,Perforation of intestine (nontraumatic),1
2018,November,"Pneumothorax, unspecified",1
2018,November,Retention of urine,1
2018,November,Sciatica,1
2018,November,Shoulder lesions,1
2018,November,"Spontaneous abortion: Complete or unspecified, without complication",1
2018,November,Superficial injury of head,1
2018,November,"Surgical procedure, unspecified",1
2018,November,"Thyrotoxicosis, unspecified",1
2018,November,Twin pregnancy,1
2018,November,"Ulcer of lower limb, not elsewhere classified",1
2018,November,Unspecified dementia,1
2018,November,Unspecified injury of head,1
2018,November,Venous insufficiency (chronic)(peripheral),1
2018,November,Viral and other specified intestinal infections,1
2018,December,"Abnormal finding of blood chemistry, unspecified",1
2018,December,"Abnormal uterine and vaginal bleeding, unspecified",1
2018,December,Acute appendicitis,1
2018,December,Acute bronchiolitis due to respiratory syncytial virus,1
2018,December,Acute bronchitis,1
2018,December,"Acute lymphadenitis, unspecified",1
2018,December,Acute myocardial infarction (MI) ST elevation (STEMI) and non-ST elevation (NSTEMI),1
2018,December,Acute pharyngitis,1
2018,December,"Acute tonsillitis, unspecified",1
2018,December,Alcoholic cirrhosis of liver,1
2018,December,"Allergy, unspecified",1
2018,December,Anaemia in neoplastic disease,1
2018,December,"Bacterial pneumonia, not elsewhere classified",1
2018,December,"Bronchopneumonia, unspecified",1
2018,December,Cellulitis,1
2018,December,Cellulitis of other sites,1
2018,December,"Cerebral infarction, unspecified",1
2018,December,Chronic obstructive pulmonary disease with acute lower respiratory infection (COAD),1
2018,December,Contusion of toe(s) without damage to nail,1
2018,December,Dehydration of newborn,1
2018,December,"Disorder of skin and subcutaneous tissue, unspecified",1
2018,December,"Disorder of trigeminal nerve, unspecified",1
2018,December,Diverticular disease of intestine,1
2018,December,"Diverticular disease of intestine, part unspecified, without perforation or abscess",1
2018,December,Dizziness and giddiness,1
2018,December,Dyspepsia,1
2018,December,"Ectopic pregnancy, unspecified",1
2018,December,Extracorporeal dialysis,1
2018,December,Fall involving playground equipment,1
2018,December,Febrile convulsions,1
2018,December,Fever of other and unknown origin,1
2018,December,"Fever, unspecified (PUO)",1
2018,December,Fracture of fibula alone,1
2018,December,"Fracture of forearm, part unspecified",1
2018,December,Fracture of lower end of both ulna and radius,1
2018,December,Fracture of lower end of humerus,1
2018,December,Fracture of lumbar vertebra,1
2018,December,Fracture of medial malleolus,1
2018,December,Fracture of other and unspecified parts of lumbar spine and pelvis,1
2018,December,Fracture of pubis,1
2018,December,Fracture of sacrum,1
2018,December,Fracture of shaft of femur,1
2018,December,Fracture of shaft of tibia,1
2018,December,"Gastritis, unspecified",1
2018,December,Generalized and unspecified atherosclerosis,1
2018,December,"Grand mal seizures, unspecified (with or without petit mal) (epilepsy)",1
2018,December,Haemorrhage of anus and rectum,1
2018,December,"Heart failure, unspecified",1
2018,December,Hidradenitis suppurativa,1
2018,December,Hypo-osmolality and hyponatraemia,1
2018,December,Infectious mononucleosis,1
2018,December,"Influenza with other respiratory manifestations, other influenza virus identified (URTI due to influenza)",1
2018,December,Insertion of gastric or duodenal sound,1
2018,December,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",1
2018,December,Labyrinthitis,1
2018,December,Malaise and fatigue,1
2018,December,"Malignant neoplasm (Cancer / Carcinoma): Brain, unspecified",1
2018,December,Melaena,1
2018,December,"Migraine, unspecified",1
2018,December,Motorcycle rider injured in collision with fixed or stationary object: Driver injured in traffic accident,1
2018,December,Multiple fractures of ribs,1
2018,December,Nonspecific mesenteric lymphadenitis,1
2018,December,Obstructed labour due to incomplete rotation of fetal head,1
2018,December,"Oedema, not elsewhere classified",1
2018,December,Other and unspecified abdominal pain,1
2018,December,Other and unspecified abnormalities of gait and mobility,1
2018,December,Other and unspecified hydronephrosis,1
2018,December,Other and unspecified intestinal obstruction,1
2018,December,Other anxiety disorders,1
2018,December,"Other encephalitis, myelitis and encephalomyelitis",1
2018,December,Other gastroenteritis and colitis of infectious and unspecified origin,1
2018,December,Other peripheral vertigo,1
2018,December,Other shock,1
2018,December,Other specified diabetes mellitus (DM): With ketoacidosis,1
2018,December,Other specified heart block,1
2018,December,Other specified problems related to primary support group,1
2018,December,Other specified threats to breathing,1
2018,December,Other viral pneumonia,1
2018,December,Pain localized to other parts of lower abdomen,1
2018,December,Pneumonia due to Streptococcus pneumoniae,1
2018,December,"Pneumonia, organism unspecified",1
2018,December,Pneumonitis due to solids and liquids (aspiration pneumonia),1
2018,December,Retention of urine,1
2018,December,Salmonella enteritis,1
2018,December,Special screening examination for neoplasm of intestinal tract,1
2018,December,"Subarachnoid haemorrhage, unspecified",1
2018,December,Supraventricular tachycardia (SVT),1
2018,December,Syncope and collapse,1
2018,December,"Tendency to fall, not elsewhere classified",1
2018,December,"Toxic effect: Alcohol, unspecified",1
2018,December,"Ulcerative colitis, unspecified",1
2018,December,Unknown and unspecified causes of morbidity (unknown diagnosis),1
2018,December,Unspecified dementia,1
2018,December,Unspecified fall,1
2018,December,Unspecified jaundice,1
2018,December,Unspecified renal colic,1
2018,December,Unspecified threat to breathing,1
2018,December,Vestibular neuronitis,1
2019,June,Unspecified acute lower respiratory infection (chest infection / LRTI),23
2019,July,Gastroenteritis and colitis of unspecified origin,19
2019,October,"Chest pain, unspecified",19
2019,December,"Chest pain, unspecified",19
2019,December,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",18
2019,December,Unknown and unspecified causes of morbidity (unknown diagnosis),18
2019,May,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",17
2019,August,Gastroenteritis and colitis of unspecified origin,16
2019,August,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",16
2019,May,Unspecified acute lower respiratory infection (chest infection / LRTI),15
2019,March,Gastroenteritis and colitis of unspecified origin,14
2019,August,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",14
2019,April,Unspecified acute lower respiratory infection (chest infection / LRTI),13
2019,October,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",13
2019,November,"Chest pain, unspecified",13
2019,January,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",12
2019,February,"Chest pain, unspecified",12
2019,March,"Pneumonia, unspecified",12
2019,June,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",12
2019,July,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",12
2019,January,"Chest pain, unspecified",11
2019,February,"Pneumonia, unspecified",11
2019,April,Constipation,11
2019,May,Gastroenteritis and colitis of unspecified origin,11
2019,June,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",11
2019,September,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",11
2019,November,Unknown and unspecified causes of morbidity (unknown diagnosis),11
2019,March,"Acute upper respiratory infection, unspecified (URTI)",10
2019,June,Syncope and collapse,10
2019,July,Unspecified acute lower respiratory infection (chest infection / LRTI),10
2019,September,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",10
2019,November,"Acute upper respiratory infection, unspecified (URTI)",10
2019,November,Unspecified acute lower respiratory infection (chest infection / LRTI),10
2019,January,Atrial fibrillation and flutter (AF),9
2019,January,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",9
2019,February,Congestive heart failure,9
2019,February,Gastroenteritis and colitis of unspecified origin,9
2019,March,"Chest pain, unspecified",9
2019,March,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",9
2019,March,Unspecified acute lower respiratory infection (chest infection / LRTI),9
2019,April,"Chest pain, unspecified",9
2019,May,"Chest pain, unspecified",9
2019,June,Other chest pain,9
2019,July,Syncope and collapse,9
2019,July,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",9
2019,October,Unknown and unspecified causes of morbidity (unknown diagnosis),9
2019,November,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",9
2019,December,Atrial fibrillation and flutter (AF),9
2019,December,Unspecified acute lower respiratory infection (chest infection / LRTI),9
2019,January,Congestive heart failure,8
2019,January,Other chest pain,8
2019,February,"Acute upper respiratory infection, unspecified (URTI)",8
2019,February,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",8
2019,February,Unspecified acute lower respiratory infection (chest infection / LRTI),8
2019,March,Constipation,8
2019,March,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",8
2019,April,Syncope and collapse,8
2019,July,"Chest pain, unspecified",8
2019,July,Congestive heart failure,8
2019,July,Other and unspecified abdominal pain,8
2019,August,Abdominal and pelvic pain,8
2019,August,"Chest pain, unspecified",8
2019,October,Syncope and collapse,8
2019,October,Unspecified injury of head,8
2019,January,"Acute upper respiratory infection, unspecified (URTI)",7
2019,January,Influenza due to certain identified influenza virus,7
2019,January,"Pneumonia, unspecified",7
2019,February,Syncope and collapse,7
2019,April,Gastroenteritis and colitis of unspecified origin,7
2019,May,Constipation,7
2019,June,Atrial fibrillation and flutter (AF),7
2019,July,Other chest pain,7
2019,September,Gastroenteritis and colitis of unspecified origin,7
2019,September,Unspecified acute lower respiratory infection (chest infection / LRTI),7
2019,October,Congestive heart failure,7
2019,October,Other and unspecified abdominal pain,7
2019,November,Atrial fibrillation and flutter (AF),7
2019,November,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",7
2019,November,Superficial injury of head,7
2019,December,"Acute upper respiratory infection, unspecified (URTI)",7
2019,December,Congestive heart failure,7
2019,January,Gastroenteritis and colitis of unspecified origin,6
2019,January,Unspecified acute lower respiratory infection (chest infection / LRTI),6
2019,March,Congestive heart failure,6
2019,March,Other chest pain,6
2019,April,"Pneumonia, unspecified",6
2019,April,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",6
2019,May,"Single spontaneous delivery, unspecified (NVD / normal vaginal delivery)",6
2019,June,Congestive heart failure,6
2019,June,Unspecified injury of head,6
2019,July,Constipation,6
2019,July,"Pneumonia, unspecified",6
2019,August,Unspecified renal colic,6
2019,September,"Acute upper respiratory infection, unspecified (URTI)",6
2019,September,Other chest pain,6
2019,September,Syncope and collapse,6
2019,October,Constipation,6
2019,November,"Gastritis, unspecified",6
2019,December,Constipation,6
2019,February,Other and unspecified abdominal pain,5
2019,February,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",5
2019,March,Atrial fibrillation and flutter (AF),5
2019,March,Other and unspecified abdominal pain,5
2019,April,Congestive heart failure,5
2019,May,"Gastritis, unspecified",5
2019,May,Other chest pain,5
2019,June,"Chest pain, unspecified",5
2019,June,Constipation,5
2019,June,"Gastritis, unspecified",5
2019,July,Unspecified injury of head,5
2019,August,Constipation,5
2019,August,Headache,5
2019,August,Other and unspecified abdominal pain,5
2019,August,Other chest pain,5
2019,September,"Chest pain, unspecified",5
2019,September,Fracture of lower end of radius,5
2019,September,Other and unspecified abdominal pain,5
2019,September,Other noninfective gastroenteritis and colitis,5
2019,October,Gastroenteritis and colitis of unspecified origin,5
2019,October,Unspecified renal colic,5
2019,October,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",5
2019,December,"Chronic obstructive pulmonary disease, unspecified (COAD)",5
2019,December,Palpitations,5
2019,December,Syncope and collapse,5
2019,December,Unspecified injury of head,5
2019,February,"Asthma, unspecified",4
2019,February,Other acute gastritis,4
2019,March,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified (COAD)",4
2019,March,Superficial injury of head,4
2019,April,Atrial fibrillation and flutter (AF),4
2019,April,Unspecified injury of head,4
2019,April,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",4
2019,May,Atrial fibrillation and flutter (AF),4
2019,May,Nausea and vomiting,4
2019,May,Single spontaneous delivery,4
2019,June,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified (COAD)",4
2019,June,Dizziness and giddiness,4
2019,July,Gastro-oesophageal reflux disease without oesophagitis (GORD / GERD),4
2019,July,Nausea and vomiting,4
2019,July,Other gastroenteritis and colitis of infectious and unspecified origin,4
2019,July,Other noninfective gastroenteritis and colitis,4
2019,July,Unspecified renal colic,4
2019,July,"Viral infection, unspecified",4
2019,August,Atrial fibrillation and flutter (AF),4
2019,August,"Gastritis, unspecified",4
2019,August,Other gastroenteritis and colitis of infectious and unspecified origin,4
2019,August,Other noninfective gastroenteritis and colitis,4
2019,August,"Spontaneous abortion: Complete or unspecified, without complication",4
2019,August,Syncope and collapse,4
2019,September,Abdominal and pelvic pain,4
2019,September,Congestive heart failure,4
2019,September,"Delivery by caesarean section, unspecified (LSCS)",4
2019,September,Fracture of neck of femur,4
2019,September,Pain localized to other parts of lower abdomen,4
2019,September,Unspecified injury of head,4
2019,October,Other chest pain,4
2019,October,"Pneumonia, unspecified",4
2019,October,Unspecified acute lower respiratory infection (chest infection / LRTI),4
2019,November,Gastroenteritis and colitis of unspecified origin,4
2019,November,Syncope and collapse,4
2019,November,Unstable angina,4
2019,December,Other chest pain,4
2019,December,"Pneumonia, unspecified",4
2019,December,"Urinary tract infection, site not specified (UTI / LUTS / urosepsis)",4
2019,January,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified (COAD)",3
2019,January,"Fracture of femur, part unspecified",3
2019,January,Other and unspecified abdominal pain,3
2019,January,Syncope and collapse,3
2019,February,Influenza due to certain identified influenza virus,3
2019,February,"Influenza with other respiratory manifestations, virus not identified",3
2019,February,Labyrinthitis,3
2019,February,Other chest pain,3
2019,February,Unspecified renal colic,3
2019,February,"Viral infection, unspecified",3
2019,February,Volume depletion,3
2019,March,Malaise and fatigue,3
2019,March,Mild alcohol intoxication,3
2019,March,Other acute gastritis,3
2019,March,Palpitations,3
2019,March,Unknown and unspecified causes of morbidity (unknown diagnosis),3
2019,March,Wheezing,3
2019,April,"Anaemia, unspecified",3
2019,April,Cough,3
2019,April,Dizziness and giddiness,3
2019,April,Fracture of neck of femur,3
2019,April,"Gastritis, unspecified",3
2019,April,Other and unspecified abdominal pain,3
2019,April,Other chest pain,3
2019,April,Palpitations,3
2019,May,Acute appendicitis,3
2019,May,"Bacterial pneumonia, not elsewhere classified",3
2019,May,"Cerebral infarction, unspecified",3
2019,May,Congestive heart failure,3
2019,May,Dyspnoea (SOB),3
2019,May,Palpitations,3
2019,May,"Transient cerebral ischaemic attack, unspecified (TIA)",3
2019,June,"Acute upper respiratory infection, unspecified (URTI)",3
2019,June,"Anaemia, unspecified",3
2019,June,Cellulitis,3
2019,June,"Cerebral infarction, unspecified",3
2019,June,Gastroenteritis and colitis of unspecified origin,3
2019,June,Nausea and vomiting,3
2019,June,Other and unspecified abdominal pain,3
2019,June,Other and unspecified gastroenteritis and colitis of infectious origin,3
2019,June,Unspecified renal colic,3
2019,July,"Acute upper respiratory infection, unspecified (URTI)",3
2019,July,Ascites,3
2019,July,Cellulitis of other parts of limb,3
2019,July,"Foreign body in alimentary tract, part unspecified",3
2019,July,"Gastritis, unspecified",3
2019,July,Malaise and fatigue,3
2019,July,Pain localized to upper abdomen,3
2019,July,Pneumonitis due to food and vomit (aspiration pneumonia),3
2019,July,Unspecified haematuria,3
2019,August,Acute cholecystitis,3
2019,August,Acute tonsillitis,3
2019,August,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified (COAD)",3
2019,August,Congestive heart failure,3
2019,August,Fracture of femur,3
2019,August,Haemorrhage of anus and rectum,3
2019,August,Moderate alcohol intoxication,3
2019,August,"Pneumonia, unspecified",3
2019,August,Unspecified acute lower respiratory infection (chest infection / LRTI),3
2019,August,Unspecified injury of head,3
2019,September,"Acute appendicitis, other and unspecified",3
2019,September,"Anaemia, unspecified",3
2019,September,Atrial fibrillation and flutter (AF),3
2019,September,Caisson disease [decompression sickness],3
2019,September,Fracture of lumbar vertebra,3
2019,September,Injury of kidney,3
2019,September,Moderate alcohol intoxication,3
2019,September,Pain localized to upper abdomen,3
2019,September,Superficial injury of head,3
2019,September,Unspecified fall,3
2019,September,Unspecified renal colic,3
2019,September,"Viral infection, unspecified",3
2019,October,Acute appendicitis,3
2019,October,Asthma,3
2019,October,"Asthma, unspecified",3
2019,October,Atrial fibrillation and flutter (AF),3
2019,October,Dyspnoea (SOB),3
2019,October,Fracture of lumbar vertebra,3
2019,October,"Gastritis, unspecified",3
2019,October,Gastro-oesophageal reflux disease without oesophagitis (GORD / GERD),3
2019,October,Malaise and fatigue,3
2019,October,Pain localized to other parts of lower abdomen,3
2019,October,"Viral infection, unspecified",3
2019,November,"Anaemia, unspecified",3
2019,November,"Chronic obstructive pulmonary disease, unspecified (COAD)",3
2019,November,Congestive heart failure,3
2019,November,Dyspnoea (SOB),3
2019,November,Malaise and fatigue,3
2019,November,"Malignant neoplasm (Cancer / Carcinoma): Bronchus or lung, unspecified",3
2019,November,Nausea and vomiting,3
2019,November,Other and unspecified abdominal pain,3
2019,November,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",3
2019,November,Unspecified renal colic,3
2019,November,Wheezing,3
2019,December,Abdominal and pelvic pain,3
2019,December,"Bacterial pneumonia, not elsewhere classified",3
2019,December,Calculus in bladder,3
2019,December,Cellulitis,3
2019,December,"Cellulitis, unspecified",3
2019,December,Nausea and vomiting,3
2019,December,Other and unspecified intestinal obstruction,3
2019,December,Unspecified renal colic,3
2019,January,Acute bronchitis,2
2019,January,Asthma,2
2019,January,"Bacterial pneumonia, unspecified",2
2019,January,Cellulitis,2
2019,January,"Chronic ischaemic heart disease, unspecified (IHD)",2
2019,January,"Fall on same level from slipping, tripping and stumbling",2
2019,January,Headache,2
2019,January,Hyperemesis gravidarum with metabolic disturbance,2
2019,January,Malaise and fatigue,2
2019,January,Nausea and vomiting,2
2019,January,Orthostatic hypotension,2
2019,January,Other and unspecified intestinal obstruction,2
2019,January,Other specified heart block,2
2019,January,Palpitations,2
2019,January,"Pneumonia, organism unspecified",2
2019,January,Pulmonary embolism,2
2019,January,Supraventricular tachycardia (SVT),2
2019,January,"Transient cerebral ischaemic attack, unspecified (TIA)",2
2019,January,Unspecified injury of head,2
2019,January,Unspecified renal colic,2
2019,February,Acute myocardial infarction (MI) ST elevation (STEMI) and non-ST elevation (NSTEMI),2
2019,February,Acute obstructive laryngitis [croup],2
2019,February,Anal abscess,2
2019,February,Atrial fibrillation and flutter (AF),2
2019,February,"Bacterial pneumonia, not elsewhere classified",2
2019,February,"Bronchopneumonia, unspecified",2
2019,February,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified (COAD)",2
2019,February,Dizziness and giddiness,2
2019,February,Essential (primary) hypertension (HT),2
2019,February,Excessive bleeding in the premenopausal period,2
2019,February,"Fever, unspecified (PUO)",2
2019,February,"Fracture of femur, part unspecified",2
2019,February,Gastro-oesophageal reflux disease without oesophagitis (GORD / GERD),2
2019,February,Headache,2
2019,February,"Lobar pneumonia, unspecified",2
2019,February,Nausea and vomiting,2
2019,February,Other and unspecified gastroenteritis and colitis of infectious origin,2
2019,February,Other functional intestinal disorders,2
2019,February,Palpitations,2
2019,February,Pilonidal cyst with abscess,2
2019,February,"Spontaneous abortion: Complete or unspecified, without complication",2
2019,March,"Acute tonsillitis, unspecified",2
2019,March,Cellulitis,2
2019,March,Cellulitis of other parts of limb,2
2019,March,Diverticular disease of intestine,2
2019,March,Dyspnoea (SOB),2
2019,March,Febrile convulsions,2
2019,March,Fracture of neck of femur,2
2019,March,"Gastritis, unspecified",2
2019,March,Other diseases of tongue,2
2019,March,Other gastroenteritis and colitis of infectious and unspecified origin,2
2019,March,"Other pneumonia, organism unspecified",2
2019,March,"Person injured in unspecified motor-vehicle accident, traffic",2
2019,March,Syncope and collapse,2
2019,March,Unspecified renal colic,2
2019,March,"Viral intestinal infection, unspecified",2
2019,March,"Vomiting of pregnancy, unspecified",2
2019,April,Acute appendicitis,2
2019,April,Acute bronchiolitis due to respiratory syncytial virus,2
2019,April,Acute cholecystitis,2
2019,April,Acute nasopharyngitis [common cold],2
2019,April,Asthma,2
2019,April,"Dislocation of elbow, unspecified",2
2019,April,Diverticular disease of intestine,2
2019,April,Extracorporeal dialysis,2
2019,April,Fracture of femur,2
2019,April,Fracture of upper end of tibia,2
2019,April,Localized oedema,2
2019,April,Maternal care due to uterine scar from previous surgery,2
2019,April,Other bacterial pneumonia,2
2019,April,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",2
2019,April,"Pneumonia, organism unspecified",2
